"stateDist","abroadPrcnt","recentArrivalPrcnt","totalPopBirthPlace","prcntForeignBorn","prcntExAliens","totalHouseholds","under10k","over10k","over15k","over25k","over35k","over50k","over75k","over100k","over150k","over200k","meanIncome","medianIncome","totalEmploymentPop","prcntUnemp","prcntNotEmploy","prcntBA","prcntHS","totalPopRaceFile","prcntAsian","prcntBlack","prcntBlackNotHisp","prcntHisp","prcntMulti","prcntWhite","prcntWhiteAll","prcntNotHisp","prcntOld","medianAge","gini","sponID","icpsr","state","district","lastName","firstName","middleName","age","gender","party","numberTerms","daysServed","fracServed","cd","statenm","dwnom1","dwnom2","comPower","chair","rank","comName","numCom","rankChair","black","hispanic","numSpon","numCosp","numPassH","numEnact","passPrcnt","congNum","partyControl","demSeats","repSeats","otherSeats","ses","sesNorm"
"21","CA.13",NA,40.0312541519306,4565889,0.741717549419182,NA,155223,11.4628631066272,88.5371368933727,82.7074595903957,77.3828620758521,67.7251438253352,51.9040348401976,35.1152857501788,22.0083363934468,4.36726516044658,0.484464286864704,NA,NA,316118,3.40569028021182,28.7006750643747,15.3410129080197,68.8063634628737,4565889,0.130095146859681,0.118837755363742,NA,12.3709301200675,NA,NA,9.91839705257837,NA,NA,NA,0.12006026660262,406530,"14071","CA",13,"Lagomarsino","Robert","John",46,"M","Republican",1,716,1,13," CALIFOR",0.248999997973442,-0.25900000333786,NA,NA,NA,NA,NA,NA,0,0,8,49,0,0,0,93,"D",243,192,0,0.0794602294652823,34.9270113071173
"22","CA.13",NA,40.0312541519306,4565889,0.741717549419182,NA,155223,11.4628631066272,88.5371368933727,82.7074595903957,77.3828620758521,67.7251438253352,51.9040348401976,35.1152857501788,22.0083363934468,4.36726516044658,0.484464286864704,NA,NA,316118,3.40569028021182,28.7006750643747,15.3410129080197,68.8063634628737,4565889,0.130095146859681,0.118837755363742,NA,12.3709301200675,NA,NA,9.91839705257837,NA,NA,NA,0.12006026660262,410691,"9240","CA",13,"Teague","Charles","McKevett",63,"M","Republican",10,716,1,13," CALIFOR",0.200000002980232,-0.33899998664856,NA,NA,NA,NA,NA,NA,0,0,14,49,3,1,7.14285714285714,93,"D",243,192,0,0.0794602294652823,34.9270113071173
"23","CA.14",NA,27.6290026767126,2668167,0.937684935013438,NA,151964,8.34473954357611,91.6552604564239,86.9232186570504,83.0249269563844,75.1697770524598,60.6472585612382,42.0731225816641,26.3621647232239,5.07225395488405,0.546840041062357,NA,NA,322784,3.26379250520472,30.288985823337,14.2881752479849,65.6514911142093,2668167,0.36564427938731,0.88307815815127,NA,5.97391308089871,NA,NA,16.1069753130145,NA,NA,NA,0.15300416281109,411215,"10793","CA",14,"Waldie","Jerome","Russell",47,"M","Democrat",5,716,1,14," CALIFOR",-0.660000026226044,-0.386999994516373,NA,NA,NA,NA,NA,NA,0,0,129,354,7,4,3.10077519379845,93,"D",243,192,0,0.331849696098917,40.0388868814658
"24","CA.15",NA,22.984385830506,3733079,0.843352096218698,NA,159368,14.9848150193263,85.0151849806737,76.3936298378596,69.8270669143115,58.8141910546659,41.072862808092,24.5827267707444,13.8917474022388,2.91840269062798,0.422293057577431,NA,NA,328932,4.67513042209332,30.9395254946311,7.67827030108225,49.8705575919754,3733079,0.459433084593174,0.490988805755249,NA,12.0076923076923,NA,NA,11.5558765298029,NA,NA,NA,0.0905952886963624,407436,"6240","CA",15,"McFall","John","Joseph",54,"M","Democrat",9,716,1,15," CALIFOR",-0.46000000834465,0.633000016212463,NA,NA,NA,NA,NA,NA,0,0,42,88,4,4,9.52380952380952,93,"D",243,192,0,-0.708917346340412,18.9592764928301
"25","CA.16",NA,21.6080188836468,5946166,0.544350763164029,NA,155819,15.9505580192403,84.0494419807597,75.1230594471791,67.5527374710401,54.5921870888659,36.7580333592181,22.3111430570085,12.9817288007239,2.83983339644074,0.318959818764079,NA,NA,330021,4.10004211853185,32.6988282563837,9.78545112454776,52.5464469098248,5946166,0.189668435089098,0.397348476312299,NA,21.2509080404593,NA,NA,7.3006539003452,NA,NA,NA,0.0745363830029797,409946,"8549","CA",16,"Sisk","Bernice","Frederic",62,"M","Democrat",10,716,1,16," CALIFOR",-0.317999988794327,0.657999992370605,NA,NA,NA,NA,NA,NA,0,0,51,135,4,2,3.92156862745098,93,"D",243,192,0,-0.713909520638854,18.8581654036889
"26","CA.17",NA,32.8525220214366,4758481,0.838103588098807,NA,168379,10.1544729449634,89.8455270550366,85.4061373449183,81.4394906728274,73.1070976784516,57.4786642039684,41.573474126821,28.2291734717512,7.53835098201082,1.26797284697023,NA,NA,335128,3.12686495906042,27.7210498675133,24.0199485927674,72.6931408525841,4758481,0.342125985162072,0.183840179250479,NA,10.2480209708788,NA,NA,9.12827013494432,NA,NA,NA,0.156914933695984,407352,"11063","CA",17,"McCloskey","Paul","Norton",45,"M","Republican",4,716,1,17," CALIFOR",-0.034000001847744,-0.662999987602234,NA,NA,NA,NA,NA,NA,0,0,14,209,0,0,0,93,"D",243,192,0,0.737587364964782,48.256664377225
"27","CA.18",NA,27.3676028021628,4881752,0.545931050983335,NA,150991,14.1491876999291,85.8508123000709,77.1622149664549,69.1703479015305,55.4595969296183,36.754508546867,21.6867230497182,12.1967534488811,2.49816214211443,0.331145564967448,NA,NA,320324,3.75245064372323,30.8478290730635,8.03750271496489,48.9019475348119,4881752,0.211481451741096,0.180713809304528,NA,15.8829084041549,NA,NA,9.02542775626455,NA,NA,NA,0.0689953260058092,407260,"11031","CA",18,"Mathias","Robert","Bruce",42,"M","Republican",4,716,1,18," CALIFOR",0.100000001490116,-0.101999998092651,NA,NA,NA,NA,NA,NA,0,0,21,58,3,2,9.52380952380952,93,"D",243,192,0,-0.817434292260445,16.7613831629284
"28","CA.19",NA,12.5131702457807,11070821,0.350497944100081,NA,138529,8.49785965393528,91.5021403460647,86.9225938251197,82.9436435692166,74.458055713966,55.9954955280122,35.2677056789553,19.9279573230154,2.76259844509092,0.225223599390741,NA,NA,313206,3.27548003550379,29.8049845788395,5.95799436931102,53.1391954678135,11070821,0.0706812981620785,0.0121490538054946,NA,31.2868412721317,NA,NA,4.08667975030939,NA,NA,NA,0.12617584188671,405565,"4514","CA",19,"Holifield","Chester","Earl",69,"M","Democrat",16,716,1,19," CALIFOR",-0.456000000238419,0.48199999332428,NA,NA,NA,NA,NA,NA,0,0,27,76,9,5,18.5185185185185,93,"D",243,192,0,-0.325870431554166,26.7174773149259
"29","CA.2",NA,36.6291784286139,1562321,0.930474595169623,NA,166852,16.0171888859588,83.9828111140412,75.4399108191691,68.7099944861314,57.3718025555582,38.9902428499509,22.9916333037662,12.8419197851989,2.3511854817443,0.272696761201544,NA,NA,333349,5.05116259535802,31.9445986038656,9.46516228014799,60.0377244432201,1562321,0.54342225445347,0.289569173044464,NA,3.29820575015281,NA,NA,28.7582385438076,NA,NA,NA,0.0842342034337245,406034,"4957","CA",2,"Johnson","Harold","Terry",65,"M","Democrat",8,716,1,2," CALIFOR",-0.423000007867813,0.624000012874603,NA,NA,NA,NA,NA,NA,0,0,39,150,6,4,10.2564102564103,93,"D",243,192,0,-0.698764658598923,19.1649081983523
"30","CA.20",NA,13.2325333318322,2691307,2.01500609183568,NA,191116,11.8226626760711,88.1773373239289,81.5122752673769,75.9721844324913,65.3242010088114,48.6531739885724,34.7035308399088,24.1371732351033,7.61788651918207,1.35153519328575,NA,NA,355291,2.73071932584839,24.4295521136195,18.3078080295656,69.8010297133083,2691307,0.395681354821282,1.11990196584782,NA,7.86388017931642,NA,NA,15.6237471236095,NA,NA,NA,0.121698688040937,407899,"14040","CA",20,"Moorhead","Carlos","John",50,"M","Republican",1,716,1,20," CALIFOR",0.312999993562698,-0.108999997377396,NA,NA,NA,NA,NA,NA,0,0,8,70,1,0,0,93,"D",243,192,0,0.192018101382686,37.2067492210233
"31","CA.21",NA,11.364392166523,4648874,1.10360057080489,NA,172546,21.8353366638462,78.1646633361538,67.0093772095557,58.5061374937698,43.5895355441448,24.4068248467075,12.9420560314351,6.2939737809048,0.837457837330335,0.107797340998922,NA,NA,324760,4.76136223672866,32.1000123167878,3.88665702951657,40.3541652659181,4648874,0.248447258411392,5.41980703284279,NA,19.737464827515,NA,NA,4.25703084230719,NA,NA,NA,0.0505528453820059,405236,"10595","CA",21,"Hawkins","Augustus","Freeman",65,"M","Democrat",6,716,1,21," CALIFOR",-0.53600001335144,-0.230000004172325,NA,NA,NA,NA,NA,NA,1,0,40,323,2,1,2.5,93,"D",243,192,0,-1.37492590485514,5.46999372684
"32","CA.22",NA,13.6727156225065,4789364,1.0114704165313,NA,161238,9.19014128183183,90.8098587181682,85.3173569505948,80.5492501767573,70.1776256217517,52.6265520534862,34.7225840062516,20.8790731713368,3.4625832620102,0.33304804078443,NA,NA,330856,4.2018279855889,26.4979326353459,9.06802715661324,62.6951582407237,4789364,0.144758260178178,0.351883882703424,NA,13.3093076294161,NA,NA,9.16960999414536,NA,NA,NA,0.108997360356582,402900,"10511","CA",22,"Corman","James","Charles",52,"M","Democrat",7,716,1,22," CALIFOR",-0.549000024795532,0.241999998688698,NA,NA,NA,NA,NA,NA,0,0,63,314,1,1,1.58730158730159,93,"D",243,192,0,-0.212748677137452,29.0086360587639
"33","CA.23",NA,26.6514007072354,2997080,0.967141350914891,NA,157978,8.27267087822355,91.7273291217764,87.2444264391244,83.2786843737736,74.4875868791857,57.9935180847966,39.1997619921761,24.5445568370279,4.92600235475826,0.624770537669802,NA,NA,330583,3.3740391974179,27.2240254338547,11.430636015138,64.8189200112677,2997080,0.213307619416232,0.0466454015241502,NA,7.41153482454109,NA,NA,15.105135665381,NA,NA,NA,0.136549929248881,402614,"10580","CA",23,"Clawson","Delwin","Morgan",58,"M","Republican",6,716,1,23," CALIFOR",0.479000002145767,0.0469999983906746,NA,NA,NA,NA,NA,NA,0,0,11,41,1,1,9.09090909090909,93,"D",243,192,0,0.083102824353809,35.0007881254856
"34","CA.24",NA,15.7687684406076,2951677,1.03951075947673,NA,161413,8.96644012564044,91.0335598743596,85.627551684189,81.0634831147429,72.3882215187129,56.6552879879564,39.6331150526909,25.6137981451308,6.46292429977759,0.994963230966527,NA,NA,329436,2.88978739421314,27.5953447710633,13.7622591482246,67.5688094126154,2951677,0.167667397211822,0.335504189652188,NA,6.64106964230278,NA,NA,15.1674116104167,NA,NA,NA,0.144451274645537,409430,"10553","CA",24,"Rousselot","John","Harbin",45,"M","Republican",4,716,1,24," CALIFOR",0.547999978065491,0.0989999994635582,NA,NA,NA,NA,NA,NA,0,0,19,78,2,2,10.5263157894737,93,"D",243,192,0,0.20404839197036,37.4504097407261
"35","CA.25",NA,18.1292639971875,6130589,0.458406198817112,NA,131373,7.49012354136695,92.5098764586331,89.3676782900596,86.308449985918,80.1747695492986,65.9755048602072,46.6914815068545,29.3378395865208,5.68609988353771,0.798489796229058,NA,NA,301507,3.04868543682236,29.7120796532087,12.7156348280466,67.8356451190788,6130589,0.0839234207349408,0.0792256665713523,NA,12.0338518216193,NA,NA,7.36395801447463,NA,NA,NA,0.192612337310771,411605,"11055","CA",25,"Wiggins","Charles","Edward",45,"M","Republican",4,716,1,25," CALIFOR",0.277999997138977,-0.38400000333786,NA,NA,NA,NA,NA,NA,0,0,21,37,0,0,0,93,"D",243,192,0,0.461024950450096,42.6551918974219
